Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,population_size 20,377.0,2.0,188.5,342.0
Random,population_size 20,329.0,7.0,47.0,312.0
Random,population_size 20,310.0,16.0,19.375,273.0
Random,population_size 20,310.0,18.0,17.22222222222222,284.0
Random,population_size 20,308.0,15.0,20.533333333333335,270.0
Random,population_size 20,306.0,15.0,20.4,313.0
Random,population_size 20,308.0,19.0,16.210526315789473,298.0
Random,population_size 20,304.0,18.0,16.88888888888889,304.0
Random,population_size 20,311.0,17.0,18.294117647058822,282.0
Random,population_size 20,313.0,19.0,16.473684210526315,303.0
Random,population_size 20,303.0,18.0,16.833333333333332,312.0
Random,population_size 20,309.0,19.0,16.263157894736842,283.0
Random,population_size 20,304.0,15.0,20.266666666666666,259.0
Random,population_size 20,307.0,17.0,18.058823529411764,256.0
Random,population_size 20,302.0,17.0,17.764705882352942,276.0
Random,population_size 20,306.0,13.0,23.53846153846154,280.0
Random,population_size 20,308.0,18.0,17.11111111111111,286.0
Random,population_size 20,300.0,20.0,15.0,272.0
Random,population_size 20,300.0,19.0,15.789473684210526,256.0
Random,population_size 20,313.0,19.0,16.473684210526315,312.0
Random,population_size 20,313.0,18.0,17.38888888888889,301.0
Random,population_size 20,307.0,19.0,16.157894736842106,302.0
Random,population_size 20,310.0,18.0,17.22222222222222,292.0
Random,population_size 20,304.0,17.0,17.88235294117647,282.0
Random,population_size 20,303.0,15.0,20.2,278.0
Random,population_size 20,306.0,19.0,16.105263157894736,255.0
Random,population_size 20,307.0,16.0,19.1875,259.0
Random,population_size 20,305.0,16.0,19.0625,304.0
Random,population_size 20,312.0,20.0,15.6,274.0
Random,population_size 20,309.0,21.0,14.714285714285714,275.0
Random,population_size 20,310.0,21.0,14.761904761904763,265.0
Random,population_size 20,306.0,20.0,15.3,247.0
Random,population_size 20,309.0,21.0,14.714285714285714,249.0
Random,population_size 20,303.0,20.0,15.15,272.0
Random,population_size 20,306.0,20.0,15.3,278.0
Random,population_size 20,307.0,20.0,15.35,307.0
Random,population_size 20,310.0,21.0,14.761904761904763,270.0
Random,population_size 20,301.0,20.0,15.05,271.0
Random,population_size 20,302.0,20.0,15.1,289.0
Random,population_size 20,301.0,20.0,15.05,296.0
Random,population_size 20,310.0,21.0,14.761904761904763,273.0
Random,population_size 20,311.0,21.0,14.80952380952381,278.0
Random,population_size 20,300.0,20.0,15.0,264.0
Random,population_size 20,313.0,21.0,14.904761904761905,275.0
Random,population_size 20,301.0,20.0,15.05,253.0
Random,population_size 20,312.0,21.0,14.857142857142858,266.0
Random,population_size 20,300.0,20.0,15.0,284.0
Random,population_size 20,312.0,21.0,14.857142857142858,290.0
Random,population_size 20,304.0,20.0,15.2,311.0
Random,population_size 20,303.0,20.0,15.15,258.0
Random,population_size 20,310.0,20.0,15.5,306.0
Random,population_size 20,311.0,21.0,14.80952380952381,276.0
Random,population_size 20,313.0,21.0,14.904761904761905,288.0
Random,population_size 20,302.0,19.0,15.894736842105264,266.0
Random,population_size 20,301.0,20.0,15.05,286.0
Random,population_size 20,311.0,20.0,15.55,283.0
Random,population_size 20,313.0,20.0,15.65,262.0
Random,population_size 20,305.0,20.0,15.25,243.0
Random,population_size 20,308.0,21.0,14.666666666666666,267.0
Random,population_size 20,306.0,20.0,15.3,265.0
Random,population_size 20,309.0,21.0,14.714285714285714,324.0
Random,population_size 20,307.0,20.0,15.35,301.0
Random,population_size 20,302.0,20.0,15.1,287.0
Random,population_size 20,308.0,21.0,14.666666666666666,282.0
Random,population_size 20,300.0,20.0,15.0,255.0
Random,population_size 20,312.0,21.0,14.857142857142858,265.0
Random,population_size 20,303.0,20.0,15.15,337.0
Random,population_size 20,311.0,21.0,14.80952380952381,289.0
Random,population_size 20,311.0,21.0,14.80952380952381,275.0
Random,population_size 20,304.0,20.0,15.2,277.0
Random,population_size 20,301.0,20.0,15.05,273.0
Random,population_size 20,300.0,20.0,15.0,293.0
Random,population_size 20,312.0,21.0,14.857142857142858,305.0
Random,population_size 20,313.0,21.0,14.904761904761905,269.0
Random,population_size 20,301.0,20.0,15.05,257.0
Random,population_size 20,312.0,21.0,14.857142857142858,290.0
Random,population_size 20,309.0,21.0,14.714285714285714,247.0
Random,population_size 20,305.0,19.0,16.05263157894737,262.0
Random,population_size 20,302.0,20.0,15.1,285.0
Random,population_size 20,303.0,20.0,15.15,280.0
Random,population_size 20,314.0,21.0,14.952380952380953,293.0
Random,population_size 20,310.0,21.0,14.761904761904763,272.0
Random,population_size 20,300.0,20.0,15.0,271.0
Random,population_size 20,313.0,21.0,14.904761904761905,280.0
Random,population_size 20,300.0,20.0,15.0,291.0
Random,population_size 20,312.0,21.0,14.857142857142858,265.0
Random,population_size 20,303.0,20.0,15.15,277.0
Random,population_size 20,309.0,21.0,14.714285714285714,245.0
Random,population_size 20,304.0,20.0,15.2,317.0
Random,population_size 20,313.0,21.0,14.904761904761905,263.0
Random,population_size 20,303.0,20.0,15.15,257.0
Random,population_size 20,301.0,20.0,15.05,273.0
Random,population_size 20,303.0,20.0,15.15,269.0
Random,population_size 20,314.0,21.0,14.952380952380953,276.0
Random,population_size 20,309.0,21.0,14.714285714285714,283.0
Random,population_size 20,313.0,21.0,14.904761904761905,283.0
Random,population_size 20,305.0,19.0,16.05263157894737,270.0
Random,population_size 20,309.0,18.0,17.166666666666668,272.0
Random,population_size 20,315.0,21.0,15.0,258.0
Random,population_size 20,311.0,21.0,14.80952380952381,286.0
