Algorithm Type, Changing Parameter, Time,Iterations,Time per Iteration,Value
Improved,population_size 10,192.0,1.0,192.0,8230.0
Improved,population_size 10,158.0,1.0,158.0,8651.0
Improved,population_size 10,145.0,2.0,72.5,7688.0
Improved,population_size 10,126.0,4.0,31.5,8092.0
Improved,population_size 10,133.0,4.0,33.25,8143.0
Improved,population_size 10,117.0,4.0,29.25,8592.0
Improved,population_size 10,105.0,4.0,26.25,8157.0
Improved,population_size 10,120.0,5.0,24.0,8211.0
Improved,population_size 10,101.0,4.0,25.25,8046.0
Improved,population_size 10,101.0,4.0,25.25,8278.0
Improved,population_size 10,101.0,4.0,25.25,8380.0
Improved,population_size 10,101.0,4.0,25.25,8078.0
Improved,population_size 10,100.0,4.0,25.0,8107.0
Improved,population_size 10,100.0,4.0,25.0,8334.0
Improved,population_size 10,120.0,5.0,24.0,7641.0
Improved,population_size 10,115.0,4.0,28.75,7874.0
Improved,population_size 10,117.0,5.0,23.4,8594.0
Improved,population_size 10,114.0,5.0,22.8,8119.0
Improved,population_size 10,121.0,5.0,24.2,8743.0
Improved,population_size 10,114.0,5.0,22.8,8240.0
Improved,population_size 10,117.0,5.0,23.4,8825.0
Improved,population_size 10,119.0,5.0,23.8,8447.0
Improved,population_size 10,114.0,5.0,22.8,8221.0
Improved,population_size 10,114.0,5.0,22.8,8097.0
Improved,population_size 10,118.0,5.0,23.6,8696.0
Improved,population_size 10,121.0,5.0,24.2,8442.0
Improved,population_size 10,117.0,5.0,23.4,8100.0
Improved,population_size 10,114.0,5.0,22.8,7856.0
Improved,population_size 10,120.0,5.0,24.0,7958.0
Improved,population_size 10,113.0,5.0,22.6,7818.0
Improved,population_size 10,125.0,5.0,25.0,8562.0
Improved,population_size 10,115.0,5.0,23.0,8291.0
Improved,population_size 10,118.0,5.0,23.6,8319.0
Improved,population_size 10,101.0,4.0,25.25,8233.0
Improved,population_size 10,103.0,4.0,25.75,8555.0
Improved,population_size 10,112.0,5.0,22.4,8006.0
Improved,population_size 10,118.0,5.0,23.6,7524.0
Improved,population_size 10,120.0,5.0,24.0,8434.0
Improved,population_size 10,118.0,5.0,23.6,8804.0
Improved,population_size 10,123.0,5.0,24.6,8483.0
Improved,population_size 10,116.0,5.0,23.2,8278.0
Improved,population_size 10,117.0,5.0,23.4,8339.0
Improved,population_size 10,121.0,5.0,24.2,8780.0
Improved,population_size 10,118.0,5.0,23.6,8188.0
Improved,population_size 10,117.0,5.0,23.4,8584.0
Improved,population_size 10,125.0,5.0,25.0,8849.0
Improved,population_size 10,118.0,5.0,23.6,8434.0
Improved,population_size 10,114.0,5.0,22.8,8700.0
Improved,population_size 10,121.0,5.0,24.2,8238.0
Improved,population_size 10,102.0,4.0,25.5,8040.0
Improved,population_size 10,121.0,5.0,24.2,8322.0
Improved,population_size 10,113.0,5.0,22.6,8388.0
Improved,population_size 10,121.0,5.0,24.2,8049.0
Improved,population_size 10,121.0,5.0,24.2,8201.0
Improved,population_size 10,117.0,5.0,23.4,8688.0
Improved,population_size 10,121.0,5.0,24.2,8185.0
Improved,population_size 10,116.0,5.0,23.2,8676.0
Improved,population_size 10,116.0,5.0,23.2,8174.0
Improved,population_size 10,121.0,5.0,24.2,8451.0
Improved,population_size 10,120.0,5.0,24.0,8078.0
Improved,population_size 10,114.0,5.0,22.8,8181.0
Improved,population_size 10,114.0,5.0,22.8,8201.0
Improved,population_size 10,120.0,5.0,24.0,8198.0
Improved,population_size 10,116.0,5.0,23.2,7799.0
Improved,population_size 10,101.0,4.0,25.25,8167.0
Improved,population_size 10,118.0,5.0,23.6,8000.0
Improved,population_size 10,115.0,5.0,23.0,8230.0
Improved,population_size 10,120.0,5.0,24.0,8065.0
Improved,population_size 10,115.0,5.0,23.0,8366.0
Improved,population_size 10,116.0,5.0,23.2,8392.0
Improved,population_size 10,114.0,5.0,22.8,8884.0
Improved,population_size 10,121.0,5.0,24.2,7910.0
Improved,population_size 10,101.0,4.0,25.25,8284.0
Improved,population_size 10,120.0,5.0,24.0,8038.0
Improved,population_size 10,100.0,4.0,25.0,8235.0
Improved,population_size 10,123.0,5.0,24.6,8074.0
Improved,population_size 10,115.0,5.0,23.0,7767.0
Improved,population_size 10,119.0,5.0,23.8,8269.0
Improved,population_size 10,113.0,5.0,22.6,8360.0
Improved,population_size 10,117.0,5.0,23.4,8763.0
Improved,population_size 10,103.0,4.0,25.75,8791.0
Improved,population_size 10,121.0,5.0,24.2,8386.0
Improved,population_size 10,106.0,4.0,26.5,8841.0
Improved,population_size 10,111.0,5.0,22.2,8593.0
Improved,population_size 10,118.0,5.0,23.6,8134.0
Improved,population_size 10,122.0,5.0,24.4,8751.0
Improved,population_size 10,120.0,5.0,24.0,8456.0
Improved,population_size 10,115.0,5.0,23.0,8037.0
Improved,population_size 10,119.0,5.0,23.8,8167.0
Improved,population_size 10,127.0,5.0,25.4,8319.0
Improved,population_size 10,118.0,5.0,23.6,8373.0
Improved,population_size 10,101.0,4.0,25.25,8182.0
Improved,population_size 10,120.0,5.0,24.0,7406.0
Improved,population_size 10,120.0,5.0,24.0,8339.0
Improved,population_size 10,113.0,5.0,22.6,8324.0
Improved,population_size 10,115.0,5.0,23.0,8212.0
Improved,population_size 10,118.0,5.0,23.6,8549.0
Improved,population_size 10,120.0,5.0,24.0,8575.0
Improved,population_size 10,102.0,4.0,25.5,8453.0
Improved,population_size 10,122.0,5.0,24.4,8526.0
